Sref,Xref,Yref,Aref,Kref,Lmax,Lmin
98.9222465,67.1694107,-108.0574844,0.140083,4.6e-06,7.2863913,-7.2633136
101.9199841,70.1377752,-107.6389047,0.1400976,5.1e-06,7.2891585,-7.267889
104.9177334,73.1061444,-107.2202778,0.1401138,5.7e-06,7.2660887,-7.24515
107.9154949,76.0745185,-106.8015988,0.1401315,6.2e-06,7.2792904,-7.2612825
110.9132691,79.0428971,-106.3828631,0.1401508,6.7e-06,7.2880989,-7.27566
113.9110567,82.0112803,-105.9640658,0.1401717,7.2e-06,7.2766499,-7.2723413
116.908858,84.9796677,-105.5452022,0.1401942,7.8e-06,7.2768863,-7.2550607
119.9066738,87.9480594,-105.1262676,0.1402183,8.3e-06,7.2696622,-7.2588602
122.9045044,90.9164552,-104.7072573,0.1402439,8.8e-06,7.2783379,-7.2621841
125.9023505,93.8848549,-104.2881664,0.1402711,9.3e-06,7.2645575,-7.2372567
128.9002125,96.8532584,-103.8689903,0.1402999,9.9e-06,7.2885938,-7.2652845
131.898091,99.8216655,-103.4497242,0.1403302,1.04e-05,7.2748514,-7.2368806
134.8959865,102.7900763,-103.0303633,0.1403621,1.09e-05,7.2721355,-7.2626951
137.8938996,105.7584904,-102.610903,0.1403956,1.14e-05,7.2943444,-7.2475457
140.8918307,108.7269078,-102.1913384,0.1404307,1.2e-05,7.2713082,-7.2727217
143.8897805,111.6953283,-101.7716648,0.1404673,1.25e-05,7.2707157,-7.2651936
146.8877495,114.6637519,-101.3518775,0.1405055,1.3e-05,7.2631957,-7.2808509
149.8857382,117.6321783,-100.9319717,0.1405453,1.35e-05,7.2997051,-7.2813751
152.8837471,120.6006074,-100.5119427,0.1405866,1.41e-05,7.2768856,-7.262333
155.8817768,123.5690392,-100.0917857,0.1406296,1.46e-05,7.2915632,-7.2599214
158.8798278,126.5374734,-99.671496,0.1406741,1.51e-05,7.2865895,-7.2683696
161.8779007,129.5059099,-99.2510688,0.1407202,1.56e-05,7.2771862,-7.2800103
164.8759959,132.4743487,-98.8304995,0.1407678,1.62e-05,7.275441,-7.2676639
167.8741141,135.4427895,-98.4097831,0.140817,1.67e-05,7.2931474,-7.2788562
170.8722558,138.4112323,-97.9889151,0.1408678,1.72e-05,7.2923863,-7.2753956
173.8704215,141.3796768,-97.5678907,0.1409202,1.77e-05,7.2830299,-7.2636983
176.8686117,144.348123,-97.146705,0.1409741,1.83e-05,7.2728768,-7.2712717
179.866827,147.3165708,-96.7253534,0.1410296,1.88e-05,7.2922429,-7.2965247
182.865068,150.2850199,-96.3038312,0.1410867,1.93e-05,7.2784836,-7.2833576
185.8633351,153.2534703,-95.8821335,0.1411453,1.87e-05,7.253925,-7.2820486
188.8616208,156.2219218,-95.4602561,0.141199,1.43e-05,7.2797073,-7.291461
191.8598956,159.1903635,-95.0382341,0.1412308,4.9e-06,7.284187,-7.3094291
194.8581151,162.1587668,-94.6161713,0.1412285,-6.6e-06,7.2621295,-7.3151856
197.8562334,165.1271009,-94.1941782,0.1411912,-1.83e-05,7.2912608,-7.288001
200.8542045,168.0953352,-93.7723656,0.1411187,-3e-05,7.2685877,-7.2951416
203.8519827,171.0634391,-93.3508441,0.1410112,-4.17e-05,7.2466826,-7.3157214
206.8495219,174.0313819,-92.9297244,0.1408685,-5.35e-05,7.2795209,-7.2839434
209.8467765,176.999133,-92.509117,0.1406906,-6.52e-05,7.266166,-7.2811268
212.8437007,179.9666617,-92.0891326,0.1404776,-7.69e-05,7.2774883,-7.2915328
215.8402488,182.9339374,-91.669882,0.1402295,-8.87e-05,7.258983,-7.2891875
218.8363752,185.9009294,-91.2514756,0.1399461,-0.0001005,7.2913458,-7.2976937
221.8320344,188.867607,-90.8340243,0.1396275,-0.0001122,7.2922414,-7.2738434
224.827181,191.8339397,-90.4176385,0.1392736,-0.000124,7.2886967,-7.2888382
227.8217697,194.7998968,-90.0024291,0.1388844,-0.0001359,7.2773272,-7.2879819
230.8157553,197.7654476,-89.5885065,0.1384599,-0.0001459,7.2954723,-7.2932878
233.8091151,200.7305615,-89.1759815,0.138011,-0.0001262,7.2868132,-7.2832813
236.8021671,203.695243,-88.7648937,0.1377048,-3.29e-05,7.2981497,-7.2615483
239.7957846,206.659999,-88.3542692,0.137814,0.0001258,7.2959739,-7.2555182
242.7910846,209.625711,-87.9423783,0.1384575,0.0003043,7.3016517,-7.2428348
245.7891929,212.5932694,-87.5274735,0.1396364,0.0004822,7.2916189,-7.2450255
248.7912411,215.5635646,-87.1078068,0.1413478,0.0006584,7.2962395,-7.2543973
251.7983688,218.5374871,-86.6816307,0.1435878,0.0008322,7.2924432,-7.2520729
254.8117264,221.5159271,-86.2471975,0.1463511,0.0010691,7.2882673,-7.2745182
257.8320724,224.4997753,-85.8027593,0.1500281,0.0023912,7.2498109,-7.2950624
260.8540329,227.4887634,-85.34432,0.1607984,0.0064274,7.2373972,-7.3270396
263.8636046,230.4657282,-84.8350895,0.189,0.0130771,7.2401999,-7.3767513
266.8479082,233.4007216,-84.2134625,0.2398475,0.0208882,7.3004297,-7.3734957
269.8045435,236.2634792,-83.4172198,0.3140202,0.0277805,7.3072052,-7.3561671
272.7455375,239.0248302,-82.3869433,0.4040932,0.0310317,7.3325252,-7.3401041
275.6899528,241.6717278,-81.1045094,0.4962149,0.0305258,7.3324568,-7.3260698
278.6544979,244.2034144,-79.5832688,0.5836058,0.0286109,7.3307859,-7.2938903
281.6507824,246.6194418,-77.837364,0.6657692,0.0267269,7.3115557,-7.3084457
284.6785139,248.9162218,-75.8818732,0.7439899,0.0255075,7.3053975,-7.3723441
287.7264564,251.0748839,-73.7364291,0.8206841,0.025126,7.2593685,-7.3572776
290.7811451,253.0719137,-71.4220484,0.8976444,0.0253968,7.2861624,-7.3419957
293.8299402,254.8837962,-68.9597483,0.9763211,0.0262438,7.3265365,-7.2775347
296.8618523,256.4870162,-66.3705456,1.0581412,0.0276602,7.3686787,-7.2541099
299.8684391,257.8580583,-63.6754574,1.1445118,0.0296367,7.4085001,-7.2225422
302.8448061,258.9734075,-60.8955008,1.2367897,0.0319449,7.4417363,-7.1801663
305.7925023,259.8095485,-58.0516928,1.3349686,0.0331601,7.4082763,-7.1848558
308.7261182,260.3508533,-55.1632853,1.4321015,0.031452,7.3614412,-7.2889818
311.6656464,260.6206966,-52.2408024,1.5191265,0.0274385,7.2325473,-7.4114866
314.6243292,260.6544879,-49.2920749,1.5932839,0.0228671,7.1240431,-7.5617507
317.6072129,260.4876403,-46.324933,1.6545248,0.0184052,7.0505683,-7.5955216
320.6126499,260.1555667,-43.3472066,1.7032708,0.0142053,7.0830451,-7.5432178
323.6337941,259.6936799,-40.3667259,1.7401121,0.0102906,7.1878668,-7.4126014
326.6600057,259.137393,-37.391321,1.7656094,0.0068401,7.294584,-7.2627095
