s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
1710.923515,-146.577992,512.998465,27.885191,4.386626,0.000354,-0.025154,0.001290,0.000035,0.000008,-6.847860,6.847860,0.000008,0.000002,0.001290
1712.922258,-147.210921,511.102582,27.884289,4.389440,0.000428,-0.025136,-0.001402,-0.000038,0.000007,-6.847665,6.847665,0.000008,-0.000003,-0.001403
1714.921000,-147.846636,509.207631,27.883479,4.381020,0.000202,-0.025124,-0.001850,-0.000050,0.000006,-6.850107,6.850107,0.000007,-0.000003,-0.001851
1716.919743,-148.511430,507.322685,27.883482,4.382045,0.000230,-0.025110,0.001159,0.000031,0.000007,-6.844756,6.844756,0.000007,0.000002,0.001159
1718.918486,-149.143218,505.426422,27.882558,4.385652,0.000327,-0.025097,0.000731,0.000020,0.000007,-6.859883,6.859883,0.000007,0.000001,0.000732
1720.917229,-149.794397,503.536729,27.882175,4.384968,0.000309,-0.025083,-0.000669,-0.000017,0.000007,-6.859067,6.859067,0.000007,-0.000001,-0.000669
1722.915972,-150.428823,501.641346,27.881323,4.382978,0.000257,-0.025069,-0.000562,-0.000014,0.000008,-6.863949,6.863949,0.000008,0.000000,-0.000562
1724.914714,-151.087522,499.754261,27.881148,4.382721,0.000253,-0.025052,0.001114,0.000030,0.000009,-6.848742,6.848742,0.000008,0.000003,0.001114
1726.913457,-151.722932,497.859208,27.880313,4.387431,0.000379,-0.025034,0.002149,0.000050,0.000009,-6.848256,6.848256,0.000009,-0.000004,0.002150
1728.912200,-152.363781,495.965988,27.879633,4.391313,0.000453,-0.025014,0.000744,-0.000017,0.000005,-6.835972,6.835972,0.000005,-0.000035,0.000743
1730.910942,-152.984436,494.066051,27.878500,4.390403,0.000312,-0.025013,-0.002625,-0.000135,0.000001,-6.843275,6.843275,0.000001,-0.000069,-0.002628
1732.909685,-153.628761,492.174011,27.878387,4.380819,-0.000087,-0.025012,-0.001003,-0.000079,0.000008,-6.850814,6.850814,0.000008,-0.000054,-0.001005
1734.908428,-154.285754,490.286332,27.878849,4.386392,-0.000006,-0.024982,0.002146,0.000038,0.000015,-6.847862,6.847862,0.000015,-0.000015,0.002146
1736.907170,-154.908917,488.387216,27.878411,4.389396,0.000066,-0.024952,-0.000854,-0.000022,0.000015,-6.858095,6.858095,0.000015,-0.000001,-0.000854
1738.905913,-155.554549,486.495621,27.878583,4.382979,-0.000095,-0.024921,-0.001638,-0.000041,0.000015,-6.840025,6.840025,0.000015,-0.000000,-0.001638
1740.904656,-156.202030,484.604658,27.878789,4.382849,-0.000097,-0.024891,0.000280,0.000007,0.000015,-6.856539,6.856539,0.000015,-0.000000,0.000281
1742.903399,-156.848166,482.713236,27.878970,4.384100,-0.000068,-0.024860,0.000420,0.000011,0.000015,-6.844867,6.844867,0.000015,0.000000,0.000420
1744.902141,-157.490945,480.820669,27.879060,4.384526,-0.000054,-0.024829,0.000240,0.000007,0.000015,-6.844159,6.844159,0.000015,0.000001,0.000240
1746.900884,-158.135433,478.928684,27.879188,4.385058,-0.000041,-0.024799,0.001450,0.000036,0.000015,-6.851769,6.851769,0.000015,-0.000000,0.001450
1748.899626,-158.776167,477.035425,27.879222,4.390323,0.000089,-0.024768,-0.000016,-0.000001,0.000015,-6.842811,6.842811,0.000015,-0.000001,-0.000016
1750.898369,-159.400717,475.136765,27.878833,4.384995,-0.000046,-0.024739,-0.001801,-0.000045,0.000015,-6.851305,6.851305,0.000015,-0.000001,-0.001802
1752.897112,-160.061650,473.250461,27.879406,4.383123,-0.000092,-0.024707,-0.000282,-0.000007,0.000016,-6.836757,6.836757,0.000016,0.000000,-0.000282
1754.895855,-160.693295,471.354150,27.879202,4.383869,-0.000072,-0.024677,-0.000015,0.000000,0.000015,-6.834258,6.834258,0.000015,0.000001,-0.000015
1756.894597,-161.351344,469.466839,27.879694,4.383065,-0.000091,-0.024646,0.001801,0.000046,0.000015,-6.842322,6.842322,0.000015,0.000001,0.001802
1758.893340,-161.986059,467.571553,27.879566,4.391068,0.000110,-0.024616,0.000980,0.000025,0.000015,-6.844605,6.844605,0.000015,0.000001,0.000981
1760.892082,-162.613809,465.673948,27.879252,4.386984,0.000009,-0.024587,-0.001828,-0.000030,0.000015,-6.845562,6.845562,0.000015,0.000015,-0.001828
1762.890825,-163.264023,463.783924,27.879532,4.383762,-0.000010,-0.024557,-0.000520,0.000034,0.000009,-6.848955,6.848955,0.000009,0.000047,-0.000519
1764.889568,-163.903997,461.890407,27.879295,4.384907,0.000144,-0.024550,0.000267,0.000053,-0.000005,-6.837355,6.837355,-0.000005,0.000046,0.000268
1766.888311,-164.549821,459.998877,27.878955,4.384829,0.000200,-0.024578,-0.000328,0.000006,-0.000014,-6.859633,6.859633,-0.000014,0.000014,-0.000327
1768.887053,-165.190128,458.105473,27.878495,4.383598,0.000169,-0.024604,0.000191,0.000006,-0.000013,-6.842659,6.842659,-0.000013,0.000001,0.000191
1770.885796,-165.840621,456.215545,27.878278,4.385594,0.000223,-0.024631,0.000101,0.000001,-0.000014,-6.855001,6.855001,-0.000014,-0.000001,0.000101
1772.884539,-166.473318,454.319584,27.877604,4.384002,0.000174,-0.024661,-0.000683,-0.000019,-0.000014,-6.853653,6.853653,-0.000013,-0.000002,-0.000683
1774.883281,-167.129837,452.431740,27.877583,4.382865,0.000148,-0.024685,0.001622,0.000042,-0.000013,-6.840582,6.840582,-0.000013,0.000002,0.001622
1776.882024,-167.766856,450.537228,27.877012,4.390485,0.000343,-0.024713,0.001170,0.000030,-0.000015,-6.853692,6.853692,-0.000015,0.000001,0.001170
1778.880766,-168.394520,448.639595,27.876211,4.387541,0.000268,-0.024744,-0.002500,-0.000063,-0.000015,-6.847658,6.847658,-0.000014,-0.000001,-0.002501
1780.879509,-169.042667,446.748860,27.875939,4.380491,0.000092,-0.024773,-0.000979,-0.000025,-0.000014,-6.848814,6.848814,-0.000013,-0.000001,-0.000980
