s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
5803.451328,129.785101,-148.737245,-2.166321,7.868561,0.049900,0.012476,-0.000164,-0.000029,-0.000098,-2.175573,5.772223,-0.000090,-0.000031,-0.000163
5805.451139,129.756315,-146.740128,-2.266026,7.868226,0.049862,0.012278,-0.000172,-0.000009,-0.000099,-2.193573,5.757352,-0.000091,-0.000011,-0.000172
5807.450950,129.728215,-144.743000,-2.365693,7.867873,0.049861,0.012079,-0.000180,0.000009,-0.000100,-2.210890,5.743209,-0.000091,0.000006,-0.000180
5809.450761,129.700835,-142.745864,-2.465392,7.867506,0.049893,0.011878,-0.000187,0.000023,-0.000101,-2.227451,5.729713,-0.000091,0.000021,-0.000187
5811.450571,129.674201,-140.748722,-2.565183,7.867126,0.049952,0.011676,-0.000193,0.000035,-0.000101,-2.243263,5.717022,-0.000091,0.000033,-0.000193
5813.450382,129.648337,-138.751576,-2.665112,7.866735,0.050031,0.011474,-0.000198,0.000043,-0.000101,-2.258331,5.705141,-0.000091,0.000041,-0.000198
5815.450193,129.623264,-136.754430,-2.765211,7.866335,0.050121,0.011272,-0.000202,0.000047,-0.000101,-2.272580,5.694015,-0.000091,0.000045,-0.000202
5817.450004,129.598995,-134.757282,-2.865497,7.865929,0.050216,0.011070,-0.000204,0.000048,-0.000101,-2.286063,5.683684,-0.000091,0.000045,-0.000204
5819.449815,129.575541,-132.760135,-2.965970,7.865520,0.050307,0.010867,-0.000206,0.000044,-0.000101,-2.298692,5.674155,-0.000091,0.000041,-0.000206
5821.449626,129.552907,-130.762986,-3.066614,7.865109,0.050387,0.010664,-0.000205,0.000036,-0.000102,-2.310586,5.665399,-0.000092,0.000033,-0.000206
5823.449437,129.531093,-128.765836,-3.167399,7.864699,0.050446,0.010459,-0.000204,0.000024,-0.000103,-2.321618,5.657453,-0.000093,0.000022,-0.000204
5825.449248,129.510094,-126.768681,-3.268278,7.864294,0.050480,0.010252,-0.000201,0.000010,-0.000104,-2.331808,5.650377,-0.000094,0.000007,-0.000201
5827.449059,129.489898,-124.771520,-3.369193,7.863895,0.050482,0.010043,-0.000197,-0.000008,-0.000105,-2.341120,5.644210,-0.000095,-0.000010,-0.000197
5829.448870,129.470489,-122.774350,-3.470076,7.863506,0.050448,0.009833,-0.000192,-0.000027,-0.000106,-2.349573,5.638873,-0.000096,-0.000028,-0.000192
5831.448681,129.451847,-120.777167,-3.570853,7.863128,0.050375,0.009622,-0.000185,-0.000046,-0.000106,-2.357272,5.634335,-0.000096,-0.000048,-0.000185
5833.448492,129.433944,-118.779967,-3.671445,7.862765,0.050262,0.009412,-0.000178,-0.000066,-0.000105,-2.364182,5.630527,-0.000096,-0.000068,-0.000177
5835.448303,129.416751,-116.782749,-3.771771,7.862418,0.050109,0.009204,-0.000169,-0.000086,-0.000103,-2.370475,5.627427,-0.000095,-0.000088,-0.000168
5837.448114,129.400232,-114.785507,-3.871754,7.862090,0.049919,0.008999,-0.000159,-0.000105,-0.000101,-2.376154,5.624840,-0.000093,-0.000106,-0.000158
5839.447925,129.384350,-112.788239,-3.971320,7.861781,0.049692,0.008800,-0.000149,-0.000122,-0.000098,-2.381424,5.622772,-0.000091,-0.000123,-0.000148
