right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-288.403534,53.254813,-0.998744,-288.664536,42.188725,-0.946920
-290.395955,53.272961,-0.952054,-290.659272,42.219956,-0.908164
-292.387096,53.288774,-0.905519,-292.651988,42.252661,-0.869619
-294.376849,53.304580,-0.859202,-294.642588,42.285491,-0.831248
-296.365184,53.321067,-0.813147,-296.630998,42.318669,-0.792992
-298.352153,53.337109,-0.767385,-298.617107,42.353352,-0.754768
-300.337811,53.353856,-0.721902,-300.600870,42.389087,-0.716488
-302.322311,53.371005,-0.676632,-302.582250,42.425984,-0.678065
-304.305854,53.388113,-0.631443,-304.561325,42.463555,-0.639426
-306.288747,53.404692,-0.586179,-306.538077,42.500827,-0.600499
-308.271342,53.422077,-0.540664,-308.512352,42.538458,-0.561207
-310.254096,53.440884,-0.494734,-310.483978,42.577127,-0.521464
-312.237519,53.464213,-0.448226,-312.452642,42.619702,-0.481183
-314.222351,53.488721,-0.401016,-314.417978,42.664547,-0.440304
-316.209348,53.513469,-0.352974,-316.379709,42.711402,-0.398799
-318.199319,53.533927,-0.304014,-318.337921,42.750578,-0.356704
-320.192992,53.555581,-0.254016,-320.292521,42.766677,-0.314138
-322.191282,53.578655,-0.202894,-322.242730,42.776542,-0.271089
-324.195251,53.602051,-0.150594,-324.187421,42.790964,-0.227575
-326.205985,53.616483,-0.097173,-326.125485,42.828643,-0.183514
-328.224544,53.626775,-0.042628,-328.056068,42.875738,-0.139027
-330.252171,53.637202,0.013017,-329.978085,42.921610,-0.094183
-332.290222,53.646966,0.069709,-331.890619,42.969677,-0.048901
-334.340055,53.652337,0.127396,-333.792839,43.019362,-0.003093
-336.403035,53.649448,0.186082,-335.683879,43.064752,0.043285
-338.480495,53.634510,0.245852,-337.562571,43.095077,0.090175
-340.575102,53.615944,0.307074,-339.427902,43.104401,0.137516
-342.690601,53.601750,0.370205,-341.281093,43.102472,0.185494
-344.830152,53.587422,0.435485,-343.125624,43.101918,0.234502
-346.994448,53.554818,0.502825,-344.965768,43.106284,0.284959
-349.180858,53.479370,0.571849,-346.805650,43.110775,0.337226
-351.391672,53.368413,0.642855,-348.650952,43.113448,0.391676
-353.640359,53.263135,0.717141,-350.506082,43.105442,0.448385
-355.920996,53.129722,0.794232,-352.369147,43.063053,0.506876
-358.241377,52.982958,0.874916,-354.225774,42.942433,0.565928
-360.595087,52.798772,0.958859,-356.059338,42.715089,0.624622
-362.983769,52.577266,1.046488,-357.861464,42.382833,0.683002
-365.424224,52.343570,1.139274,-359.625134,41.951294,0.741432
-367.894603,52.047778,1.235976,-361.335969,41.413266,0.799929
-370.347266,51.617242,1.333916,-362.987900,40.776674,0.859135
-372.732496,51.001840,1.430746,-364.571719,40.042523,0.919324
-375.007416,50.178700,1.524940,-366.075642,39.208452,0.980342
-377.126599,49.132258,1.615000,-367.497734,38.284276,1.042302
-379.073307,47.884403,1.700968,-368.847373,37.288751,1.105711
-380.809159,46.431011,1.781133,-370.120580,36.222305,1.170195
-382.325724,44.795300,1.854886,-371.329085,35.099063,1.236478
-383.661570,43.033079,1.923657,-372.458683,33.907587,1.304163
-384.865981,41.195162,1.988972,-373.511043,32.651315,1.374136
-385.936262,39.285486,2.049271,-374.469684,31.319984,1.446565
-386.864262,37.308413,2.102782,-375.350328,29.927048,1.523597
-387.671934,35.291410,2.149617,-376.167572,28.481273,1.606762
-388.343276,33.240317,2.189209,-376.948781,26.994921,1.697063
-388.842958,31.147912,2.221984,-377.680089,25.455252,1.791785
-389.192316,29.017927,2.252234,-378.351664,23.856930,1.887294
-389.432964,26.858094,2.284725,-378.964430,22.202427,1.980626
-389.606644,24.682708,2.322503,-379.449543,20.464924,2.068383
-389.745674,22.500966,2.366717,-379.837448,18.664883,2.151313
-389.831933,20.303763,2.416305,-380.143419,16.814597,2.230188
-389.874014,18.095296,2.470526,-380.355325,14.916471,2.305488
-389.912740,15.889921,2.529173,-380.494353,12.985642,2.378205
-389.922881,13.681361,2.590831,-380.549736,11.026452,2.448672
-389.922739,11.478897,2.654980,-380.546349,9.052985,2.517682
-389.916459,9.286422,2.720946,-380.539805,7.084045,2.586365
-389.902929,7.105818,2.788139,-380.537319,5.123162,2.654937
-389.886735,4.939953,2.856226,-380.545681,3.173039,2.723425
-389.871220,2.790820,2.925009,-380.547606,1.231374,2.791443
-389.857244,0.659347,2.994348,-380.542179,-0.700748,2.858829
-389.845724,-1.454051,3.064176,-380.536828,-2.621866,2.925584
-389.838276,-3.549220,3.134492,-380.532502,-4.533401,2.991664
-389.834184,-5.626922,3.205340,-380.528447,-6.437991,3.056987
-389.836841,-7.688231,3.276917,-380.524205,-8.338215,3.121418
-389.845732,-9.735051,3.349443,-380.521179,-10.236324,3.184810
-389.840388,-11.770207,3.422702,-380.521714,-12.134357,3.247138
-389.813598,-13.795132,3.496408,-380.526967,-14.034149,3.308552
-389.790828,-15.810577,3.570592,-380.533600,-15.937220,3.369316
-389.773545,-17.818539,3.644615,-380.533062,-17.844592,3.429660
-389.756794,-19.820895,3.717517,-380.523801,-19.756580,3.489969
-389.741389,-21.819253,3.788429,-380.511637,-21.673361,3.550779
-389.726613,-23.815009,3.856604,-380.502395,-23.595318,3.612507
-389.712935,-25.809377,3.921679,-380.500072,-25.522967,3.675315
-389.700111,-27.803355,3.983715,-380.502498,-27.456683,3.738931
-389.687655,-29.797743,4.043186,-380.507018,-29.396720,3.802858
-389.673711,-31.793083,4.100747,-380.511203,-31.343180,3.866582
-389.658806,-33.789863,4.157113,-380.517639,-33.296323,3.929829
-389.644178,-35.788463,4.212894,-380.529051,-35.256400,3.992475
