,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
53,158.856346,64.680865,-3.884876,-0.031669,-11.980857,-1.028371,-18.681596,2.863566,2.387346
54,161.853669,64.101598,-3.981151,-0.032422,-12.852401,-0.894778,-18.130483,3.086388,2.433998
55,164.850993,63.476217,-4.079562,-0.033088,-13.706244,-0.749427,-17.464211,3.314330,2.481092
56,167.848316,62.804316,-4.179827,-0.033653,-14.537179,-0.591733,-16.683686,3.547302,2.528672
57,170.845640,62.085623,-4.281623,-0.034105,-15.339833,-0.421072,-15.790102,3.785207,2.576782
58,173.842963,61.320012,-4.384592,-0.034429,-16.108650,-0.236771,-14.785031,4.027956,2.625472
59,176.840286,60.507531,-4.488319,-0.034607,-16.837866,-0.038107,-13.670226,4.275424,2.674793
60,179.837609,59.648412,-4.592334,-0.034617,-17.521485,0.175697,-12.447801,4.527520,2.724801
61,182.834932,58.743106,-4.696101,-0.034437,-18.153252,0.405484,-11.120159,4.784107,2.775554
62,185.832255,57.792316,-4.799004,-0.034037,-18.726624,0.652160,-9.690020,5.045098,2.827116
63,188.829576,56.797045,-4.900333,-0.033382,-19.234730,0.916704,-8.160336,5.310416,2.879552
64,191.826889,55.758648,-4.999251,-0.032427,-19.670338,1.200180,-6.534173,5.579956,2.932933
65,194.824186,54.678886,-5.094781,-0.031122,-20.025805,1.503737,-4.814728,5.853600,2.987334
66,197.821458,53.560000,-5.185796,-0.029416,-20.293032,1.828623,-3.005339,6.131280,3.042836
67,200.818697,52.404802,-5.271008,-0.027252,-20.463398,2.176193,-1.109352,6.413021,3.099524
68,203.815893,51.216802,-5.348944,-0.024562,-20.527701,2.547916,0.870090,6.698870,3.157488
69,206.813037,50.000336,-5.417909,-0.021269,-20.476074,2.945389,2.930217,6.988987,3.216822
70,209.810122,48.760739,-5.475966,-0.017283,-20.297907,3.370342,5.068941,7.283694,3.277625
71,212.807138,47.504554,-5.520884,-0.012500,-19.981741,3.824649,7.285248,7.583475,3.339998
72,215.804076,46.239771,-5.550090,-0.006796,-19.515160,4.310331,9.579731,7.889032,3.404043
73,218.800927,44.976114,-5.560619,-0.000030,-18.884663,4.829553,11.955298,8.201350,3.469859
74,221.797684,43.725374,-5.549048,0.007959,-18.075523,5.384624,14.418086,8.521951,3.537539
75,224.794336,42.501782,-5.511437,0.017354,-17.071638,5.977980,16.978111,8.750486,3.607166
76,227.790877,41.322408,-5.443265,0.028353,-15.855401,6.604826,19.644939,8.477997,3.678802
77,230.787297,40.207544,-5.339431,0.041124,-14.408015,7.229463,22.426287,7.590353,3.752479
78,233.783593,39.180948,-5.194441,0.055729,-12.710051,7.804152,14.201788,16.632957,3.828192
79,236.779842,38.236074,-5.001986,0.072887,-11.606361,9.096780,9.372020,20.864878,3.905907
80,239.776254,37.340407,-4.752167,0.093867,-10.859061,10.760490,11.413939,17.569828,3.985644
81,242.773094,36.489995,-4.432149,0.119134,-9.925024,12.198282,13.515158,13.578222,4.067477
82,245.770630,35.704039,-4.028760,0.148445,-8.789850,13.338753,15.622587,8.877826,4.151470
83,248.769130,35.004520,-3.529622,0.181271,-7.443445,14.103873,14.691102,7.549450,4.237653
84,251.768864,34.404129,-2.923566,0.217185,-6.145248,14.770989,13.532522,6.396856,4.326019
85,254.770104,33.903146,-2.199610,0.255830,-4.919852,15.350237,12.063236,5.495529,4.416571
86,257.772921,33.498424,-1.348922,0.294685,-3.800055,15.860371,10.827443,3.855526,4.509399
87,260.774410,33.186345,-0.378210,0.326611,-2.771714,16.226552,10.001830,1.361232,4.604374
88,263.768177,32.966401,0.668452,0.342129,-1.811827,16.357191,8.465331,1.114572,4.700345
89,266.751342,32.832802,1.708599,0.334903,-1.010341,16.462717,6.409943,3.655279,4.795024
90,269.731195,32.767329,2.655023,0.305926,-0.425942,16.795971,5.120680,3.691380,4.886194
91,272.719835,32.749652,3.458752,0.264136,0.019799,17.117296,3.494784,3.447443,4.973242
92,275.720189,32.763600,4.116950,0.219880,0.312863,17.406390,2.228217,0.261925,5.057099
93,278.726108,32.796607,4.645385,0.177509,0.494950,17.427794,1.051948,-3.759917,5.138818
94,281.729879,32.839639,5.056269,0.136250,0.579234,17.126542,1.223498,4.419850,5.218940
