s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
3728.313713,-6.806007,-2052.385506,93.450490,-0.911610,0.158408,-0.008168,-0.000947,0.001869,-0.000391,-4.769412,3.421576,-0.000242,0.001877,-0.000920
3730.322417,-5.591979,-2053.954145,93.133633,-0.913512,0.162163,-0.008954,-0.000567,0.001751,-0.000408,-4.870333,3.325028,-0.000317,0.001756,-0.000544
3732.329758,-4.382210,-2055.522854,92.809547,-0.914651,0.165679,-0.009773,-0.000150,0.001614,-0.000402,-4.990149,3.227540,-0.000378,0.001615,-0.000132
3734.335153,-3.175787,-2057.090262,92.478817,-0.914951,0.168915,-0.010580,0.000307,0.001454,-0.000370,-5.129792,3.128693,-0.000422,0.001451,0.000318
3736.337939,-1.971718,-2058.654873,92.142122,-0.914336,0.171828,-0.011322,0.000813,0.001268,-0.000315,-5.287406,3.027621,-0.000454,0.001259,0.000816
3738.337391,-0.768923,-2060.215068,91.800242,-0.912710,0.174363,-0.011952,0.001373,0.001053,-0.000249,-5.460900,2.923376,-0.000487,0.001037,0.001365
3740.332732,0.433811,-2061.769092,91.454076,-0.909970,0.176464,-0.012449,0.001980,0.000812,-0.000185,-5.644208,2.814645,-0.000533,0.000788,0.001959
3742.323141,1.637812,-2063.315055,91.104641,-0.906029,0.178081,-0.012818,0.002638,0.000551,-0.000142,-5.829927,2.701300,-0.000609,0.000518,0.002603
3744.307776,2.844512,-2064.850971,90.753052,-0.900793,0.179174,-0.013099,0.003350,0.000281,-0.000141,-6.012550,2.583030,-0.000738,0.000238,0.003300
3746.285792,4.055455,-2066.374739,90.400499,-0.894166,0.179730,-0.013379,0.004125,0.000024,-0.000206,-6.188511,2.457942,-0.000944,-0.000030,0.004059
3748.256379,5.272299,-2067.884168,90.048182,-0.886037,0.179778,-0.013785,0.004996,-0.000208,-0.000363,-6.356845,2.327344,-0.001256,-0.000275,0.004912
3750.218781,6.496842,-2069.376933,89.697224,-0.876234,0.179370,-0.014498,0.006035,-0.000411,-0.000626,-6.510444,2.193989,-0.001703,-0.000497,0.005932
3752.172355,7.731138,-2070.850512,89.348614,-0.864444,0.178567,-0.015721,0.007317,-0.000606,-0.000998,-6.636303,2.067174,-0.002298,-0.000719,0.007191
3754.116596,8.977721,-2072.301988,89.003184,-0.850217,0.177389,-0.017662,0.008883,-0.000821,-0.001460,-6.731052,1.956008,-0.003027,-0.000975,0.008728
3756.051153,10.239748,-2073.727882,88.661684,-0.833031,0.175800,-0.020486,0.010621,-0.001069,-0.001989,-6.815358,1.859417,-0.003847,-0.001283,0.010433
3757.975819,11.520983,-2075.124073,88.324890,-0.812589,0.173742,-0.024314,0.012415,-0.001356,-0.002544,-6.905950,1.776211,-0.004690,-0.001653,0.012191
3759.890482,12.825266,-2076.486081,87.993658,-0.788819,0.171146,-0.029184,0.014320,-0.001641,-0.003038,-7.002761,1.716309,-0.005477,-0.002052,0.014057
3761.795107,14.156247,-2077.809199,87.668939,-0.761545,0.168021,-0.034970,0.016386,-0.001858,-0.003402,-7.097580,1.688106,-0.006143,-0.002422,0.016081
3763.689736,15.517516,-2079.088217,87.351637,-0.730499,0.164500,-0.041416,0.018518,-0.001938,-0.003620,-7.187963,1.684043,-0.006652,-0.002692,0.018172
3765.574441,16.912478,-2080.317264,87.042383,-0.695598,0.160848,-0.048238,0.020594,-0.001849,-0.003711,-7.284418,1.693028,-0.007009,-0.002827,0.020216
3767.449325,18.343928,-2081.490079,86.741312,-0.656986,0.157381,-0.055196,0.022545,-0.001592,-0.003706,-7.386015,1.715047,-0.007239,-0.002818,0.022144
3769.314513,19.813726,-2082.600293,86.447980,-0.614936,0.154411,-0.062108,0.024388,-0.001194,-0.003626,-7.483306,1.754149,-0.007376,-0.002687,0.023977
3771.170164,21.322675,-2083.641624,86.161375,-0.569680,0.152195,-0.068836,0.026165,-0.000692,-0.003484,-7.582681,1.788378,-0.007451,-0.002469,0.025754
3773.016491,22.870632,-2084.607852,85.880025,-0.521371,0.150918,-0.075269,0.027854,-0.000145,-0.003292,-7.705306,1.787298,-0.007480,-0.002216,0.027449
3774.853770,24.456576,-2085.492813,85.602139,-0.470194,0.150651,-0.081318,0.029303,0.000382,-0.003064,-7.846926,1.744663,-0.007462,-0.001973,0.028907
3776.682366,26.078582,-2086.290626,85.325818,-0.416610,0.151350,-0.086921,0.030477,0.000832,-0.002793,-7.990348,1.687226,-0.007388,-0.001787,0.030088
3778.502731,27.733669,-2086.996274,85.049274,-0.361130,0.152865,-0.092005,0.031460,0.001168,-0.002451,-8.134911,1.629663,-0.007241,-0.001693,0.031069
3780.315478,29.418095,-2087.605632,84.770985,-0.304102,0.154983,-0.096448,0.032280,0.001369,-0.002023,-8.299077,1.570150,-0.007006,-0.001709,0.031877
3782.121379,31.127617,-2088.115285,84.489800,-0.245807,0.157454,-0.100101,0.032901,0.001443,-0.001509,-8.388289,1.546623,-0.006668,-0.001812,0.032475
3783.921402,32.857686,-2088.522511,84.204998,-0.186585,0.160051,-0.102818,0.033277,0.001414,-0.000935,-8.457364,1.519962,-0.006239,-0.001965,0.032824
3785.716690,34.603521,-2088.825393,83.916244,-0.126842,0.162590,-0.104497,0.033384,0.001332,-0.000347,-8.505310,1.489964,-0.005751,-0.002112,0.032903
3787.508583,36.360268,-2089.022928,83.623493,-0.067021,0.164976,-0.105119,0.033270,0.001217,0.000183,-8.553988,1.465243,-0.005281,-0.002233,0.032764
3789.298605,38.123131,-2089.115018,83.326827,-0.007468,0.167154,-0.104791,0.033056,0.001027,0.000598,-8.600438,1.468746,-0.004902,-0.002388,0.032524
3791.088454,39.887535,-2089.102193,83.026373,0.051698,0.168993,-0.103722,0.032828,0.000733,0.000874,-8.659148,1.556435,-0.004647,-0.002621,0.032263
