Sref,Xref,Yref,Aref,Kref,Lmax,Lmin
0,-141.714450542774,-589.159146422964,-0.663878599875769,0,6.28894482294081,-6.30249732443817
1.98778751204931,-140.148852675116,-590.383973972627,-0.663947438674845,0,6.30263106719754,-6.31428046423432
3.9755750262931,-138.583423452757,-591.609017059103,-0.664087508151482,0,6.27829212468844,-6.31176476365428
5.96336254511051,-137.018168764454,-592.834283148763,-0.664231491223016,0,6.30988629340777,-6.31309966158291
7.95115006961337,-135.453092370384,-594.059776980963,-0.664378008722079,0,6.27318273436613,-6.3215471244424
9.93893759982507,-133.888196785942,-595.285501699608,-0.664526314516377,0,6.3126325343332,-6.32683623381941
11.9267251350066,-132.323483947218,-596.511459704871,-0.664676115658555,0,6.27333762274667,-6.32487701983779
13.9145126739554,-130.758955654938,-597.737653221053,-0.664827409882782,0,6.30268417505642,-6.33004445102526
15.9023002151775,-129.194613842459,-598.964084639007,-0.664980365747512,0,6.27845678083984,-6.33221600363638
17.8900877569112,-127.630460726568,-600.190756708335,-0.665135247179488,0,6.29374484012415,-6.34337044234111
19.8778752970599,-126.066498890987,-601.41767264327,-0.665292370088973,0,6.28823934378783,-6.34204039063953
21.8656628331356,-124.502731331087,-602.644836178875,-0.665452070771894,0,6.28933699399157,-6.3443090239153
23.8534503623331,-122.939161459965,-603.872251578004,-0.665614661542729,0,6.30239106979787,-6.35839058269232
25.8412378818575,-121.375793044101,-605.099923548871,-0.665780347603931,0,6.28920078082172,-6.35197778206625
27.8290253895664,-119.812630004868,-606.327856992438,-0.665949081562825,0,6.32062565766332,-6.3572190728882
29.8168128848728,-118.249675996115,-607.556056465776,-0.666120341293765,0,6.29307991938488,-6.36636617049503
31.8046003696903,-116.686933658889,-608.784525235958,-0.666292837817722,0,6.34265648789719,-6.36279633949194
33.7923878490029,-115.12440347986,-610.013263831533,-0.666464198313022,0,6.30500064763334,-6.3710509964279
35.7801753305618,-113.562082265443,-611.242268107075,-0.666630730311872,0,6.32392000772408,-6.37515094552256
37.767962823413,-111.999961419045,-612.471527059094,-0.666787457397946,0,6.31308938717353,-6.3663096511806
39.7557503355792,-110.438025501685,-613.70102100311,-0.666928653590153,0,6.37191740035936,-6.35650149308507
41.7435378719746,-108.876251822621,-614.930721059433,-0.667048813556981,0,6.37577196389345,-6.38381021251789
43.7313254336188,-107.314611386409,-616.160590360516,-0.667143489619962,0,6.3797301897097,-6.38665486588562
45.719113018289,-105.753070544016,-617.390586149612,-0.667209589030075,0,6.38373897378268,-6.38963724834502
47.7069006219666,-104.191592674082,-618.620661914258,-0.667245254247408,0,6.38774043479156,-6.39269400405486
49.6946882402621,-102.6301395428,-619.850769108455,-0.667249554429465,0,6.39167412795421,-6.39576436577471
51.682475869216,-101.068672229164,-621.080858320342,-0.667222138992883,0,6.39547855096996,-6.39878869339019
53.6702635052224,-99.5071516349518,-622.310879910578,-0.667162931382637,0,6.39909197790389,-6.40170768685409
55.6580511441241,-97.9455386584276,-623.54078422223,-0.667071894789725,0,6.40093777707833,-6.40411107177639
57.6458387797501,-96.3837941293351,-624.770521486416,-0.666948878945828,0,6.40193311731625,-6.4038522551472
59.6336264023584,-94.821878606708,-626.000041552946,-0.666793552927114,0,6.40255316214963,-6.403335884505
61.6214139976173,-93.2597521491066,-627.229293585686,-0.666605436729991,0.000103002846903983,6.40273471514527,-6.40250426247635
63.6092015468753,-91.6973741898907,-628.458225891996,-0.666384057358957,0.000119774218945267,6.40241359057764,-6.40130085507858
65.5969890294594,-90.1347036898743,-629.686786106812,-0.666129265319719,0.000136411113559395,6.4015248685297,-6.3996700880717
67.5847764273972,-88.5716997874124,-630.91492201349,-0.665841744740504,0.000152315855474568,6.40000395826782,-6.39755633592745
69.5725637321202,-87.0083231990418,-632.142583326483,-0.665523722231691,0.000166500116434758,6.39778888163826,-6.39490169251466
71.5603509513905,-85.4445386025429,-633.369724734508,-0.665179811093125,0.000177563882965084,6.39482415357568,-6.39164214833004
73.5481381133064,-83.8803180995919,-634.596310331305,-0.66481780378702,0.000183815808982224,6.3910664175904,-6.38646036128308
75.5359252638126,-82.3156455312501,-635.82231914711,-0.664449037674685,0.000183640663026949,6.3864914672728,-6.37915901111185
77.5237124561214,-80.7505208253242,-637.047750733366,-0.664087726679965,0.000176132177224514,6.3797011434934,-6.37108990114045
79.511499735443,-79.1849626630849,-638.272628610546,-0.663748811095492,0.000161627898305048,6.37146806508656,-6.36238934546206
81.4992871268845,-77.6190075518341,-639.496999126095,-0.663445162910633,0.00014158942671361,6.36250912990946,-6.35324466253679
83.4870746323755,-76.0527056474706,-640.72092615015,-0.663185911731303,0.000117900036344621,6.3529133605148,-6.3461625052487
85.4748622359341,-74.486115737714,-641.944484682531,-0.662976442463372,0,6.3428085521523,-6.33546042372326
87.4626499127026,-72.9193010744911,-643.167755529056,-0.662819268492464,0,6.33234493761876,-6.32414741703931
89.4504376374719,-71.352326510133,-644.390821631675,-0.662715041552756,0,6.32167785100392,-6.31297365092327
91.4382253904084,-69.7852568140379,-645.613765898718,-0.662663394751854,0,6.31096260834422,-6.30208526968324
93.4260131594693,-68.2181558808375,-646.836670169373,-0.662663547795506,0,6.30035316129447,-6.29162985263316
95.4138009399599,-66.6510865336405,-648.059614935921,-0.662714695414433,0,6.29000171348952,-6.28175663951856
97.4015887319469,-65.0841106858737,-649.282679522788,-0.662816235544461,0,6.28005891696307,-6.27261617555796
99.3893765361389,-63.5172897048162,-650.505942522231,-0.662967897910581,0,6.26729813746665,-6.26166919100171
101.377164348695,-61.9506848896797,-651.729482375027,-0.663169818928522,-0.000114369708019099,6.25753468828834,-6.25240491589951
103.3649521555,-60.3843580202365,-652.95337803941,-0.663422583339678,-0.000140206706756674,6.24863118375775,-6.24429143507998
105.352739926834,-58.8183719388354,-654.177709700563,-0.663727221304877,-0.000166650457133193,6.24073937495912,-6.2374776375654
107.340527614065,-57.2527910935995,-655.402559429067,-0.664085114843289,-0.000193811485445413,6.23401337302537,-6.23210944632202
109.328315150768,-55.6876818913891,-656.628011597238,-0.664497733509154,-0.000221597813830316,6.22861011597545,-6.22697479555439
111.31610246102,-54.1231125899293,-657.854152712619,-0.664966093639216,-0.000249548493193311,6.22429087006202,-6.22209071258084
113.303889476879,-52.5591523158968,-659.08107014902,-0.665489832230556,-0.000276622617739798,6.22014774136676,-6.21882014444159
115.291676164368,-50.9958686680381,-660.308849096016,-0.666065827408266,-0.000300983031840324,6.21770002287398,-6.21881259996039
117.279462552339,-49.4333233223382,-661.53756699674,-0.666686412428302,-0.000319859851525495,6.21720867778096,-6.21605401196946
