V,Aw,An,Ae_off,Ae_on
10.0,18.9268122955341,13.121528,10.228580465704551,10.228580465704551
10.2166666666667,18.95752238063911,13.185370133333343,10.228580465704551,10.228580465704551
10.4333333333333,18.988232465744108,13.249212266666657,10.228580465704551,10.228580465704551
10.65,19.01894255084912,13.3130544,10.228580465704551,10.228580465704551
10.8666666666667,19.04965263595413,13.376896533333342,10.228580465704551,10.228580465704551
11.0833333333333,19.081573532345992,13.44054299999999,10.228580465704551,10.228580465704551
11.3,19.11543172679686,13.5038764,10.228580465704551,10.228580465704551
11.5166666666667,19.149289921247725,13.56720980000001,10.228580465704551,10.228580465704551
11.7333333333333,19.183148115698575,13.63054319999999,10.228580465704551,10.228580465704551
11.95,19.21700631014944,13.6938766,10.228580465704551,10.228580465704551
12.1666666666667,19.253274624273654,13.756818666666677,10.510496074938038,10.510496074938038
12.3833333333333,19.29026597429986,13.819643333333325,10.865844706155404,10.865844706155404
12.6,19.32725732432608,13.882468,11.20547964473777,11.20547964473777
12.8166666666667,19.3642486743523,13.945292666666676,11.52453633722625,11.52453633722625
13.0333333333333,19.401719747733093,14.008039066666658,11.822004226216233,11.822004226216233
13.25,19.441829299564148,14.070355,12.093951387071133,12.093951387071133
13.4666666666667,19.481938851395206,14.132670933333342,12.340772057968984,12.340772057968984
13.6833333333333,19.522048403226243,14.194986866666657,12.559354670319602,12.559354670319602
13.9,19.562157955057298,14.2573028,12.75157286947836,12.75157286947836
14.1166666666667,19.603938486599162,14.319344800000009,12.915319442586124,12.915319442586124
14.3333333333333,19.64715128646456,14.38115199999999,13.053099535008688,13.053099535008688
14.55,19.690364086329975,14.442959199999999,13.16327002359606,13.16327002359606
14.7666666666667,19.73357688619539,14.504766400000008,13.249294629364721,13.249294629364721
14.9833333333333,19.776789686060784,14.56657359999999,13.310596594822465,13.310596594822465
15.2,19.8228532190928,14.6279112,13.3504211594008,13.3504211594008
15.4166666666667,19.86915431322203,14.689209666666676,13.368449119508657,13.368449119508657
15.6333333333333,19.915455407351242,14.750508133333323,13.368543827489717,13.368543827489717
15.85,19.961756501480473,14.811806599999999,13.351365936354505,13.351365936354505
16.0666666666667,20.009003238838435,14.872948533333341,13.320050555224404,13.320050555224404
