Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME,s_dot,n_dot,s_ddot,n_ddot
0.0,-31.9308715,-122.6764921,0.1409085,-6.3e-06,7.1254373,-7.1032924,0.0,0.4028114,-31.9874512,-122.2776742,0.1098885,-0.0310199,-3e-07,56.6324312,-0.0009621696790868,2.3431978,56.6324312,-0.0009621696790868,2.3431978,0.0,56.60504290651093,-1.75645063481133,2.3420608271471,-0.05344973622368511
2.9972264,-28.963353,-122.255554,0.1408896,-9.3e-06,7.1095004,-7.0999922,2.9986809,0.3098073,-29.0068573,-121.9488164,0.1098877,-0.031002,-4e-07,56.7563677,-0.001288514109799,2.3189143,56.7563677,-0.001288514109799,2.3189143,0.0528920136850463,56.72893148294793,-1.7592790656087667,2.31866212441913,-0.04323827786927716
5.9944563,-25.9958151,-121.8347271,0.1408529,-1.2e-05,7.0928218,-7.1024123,5.997358,0.2169113,-26.0262667,-121.6199639,0.1098863,-0.0309666,-4e-07,56.8787537,-0.0012940770489861,2.3120934,56.8787537,-0.0012940770489861,2.3120934,0.105669307417858,56.85133651822498,-1.761060127178081,2.3130961955753113,-0.03409469127835005
8.9916897,-23.0282586,-121.414006,0.140818,-1.14e-05,7.0763327,-7.1060137,8.9960317,0.1241196,-23.0456791,-121.291115,0.1098854,-0.0309326,-3e-07,57.000518,-0.0009747177156804,2.3052779,57.000518,-0.0009747177156804,2.3052779,0.158333390508316,56.97316977786091,-1.7628930614573346,2.3065122940353926,-0.03526732754710786
11.9889266,-20.0606843,-120.9933854,0.1407848,-1.08e-05,7.0611173,-7.1107367,11.9947024,0.0314273,-20.0650942,-120.962269,0.1098845,-0.0309003,-2e-07,57.1216648,-0.0006525769179047,2.2984618,57.1216648,-0.0006525769179047,2.2984618,0.210885324553567,57.09437689325128,-1.7647957013137845,2.2995405390429937,-0.03645861762557416
14.9861669,-17.0930931,-120.57286,0.1407535,-1.02e-05,7.0491646,-7.1149148,14.9933706,-0.0611704,-17.0845116,-120.6334256,0.1098839,-0.0308696,-2e-07,57.242198,-0.0006553338463742,2.2916392,57.242198,-0.0006553338463742,2.2916392,0.263326157997494,57.21496189742258,-1.7667631232688588,2.292550675149449,-0.037995564035637135
17.9834104,-14.1254858,-120.1524246,0.1407239,-9.6e-06,7.0409769,-7.1184542,17.9920366,-0.1536786,-14.1039309,-120.304584,0.1098834,-0.0308405,-1e-07,57.3621213,-0.0003290412960035,2.2848053,57.3621213,-0.0003290412960035,2.2848053,0.3156569265572,57.334928447275566,-1.7687960764346957,2.2855580936278885,-0.03922427694655456
20.9806573,-11.1578632,-119.7320737,0.1406962,-9e-06,7.0366574,-7.1215456,20.990701,-0.246102,-11.1233518,-119.9757439,0.1098831,-0.0308131,-1e-07,57.4814377,-0.0003304115680058,2.2779535,57.4814377,-0.0003304115680058,2.2779535,0.367878650193814,57.45427932240299,-1.7709010274665873,2.2785359312274354,-0.04080107505810479
23.9779073,-8.1902261,-119.3118022,0.1406702,-8.4e-06,7.031333,-7.124058,23.989364,-0.3384456,-8.1427738,-119.6469046,0.1098829,-0.0307873,-0.0,57.6001503,-0.0,2.2710799,57.6001503,-0.0,2.2710799,0.419992340503269,57.57301775592972,-1.7730729728332104,2.2715006098639714,-0.04206637217798914
26.9751604,-5.2225753,-118.8916045,0.140646,-7.8e-06,7.0240268,-7.1259881,26.9880262,-0.4307141,-5.1621967,-119.3180657,0.109883,-0.0307631,0.0,57.7182616,0.0,2.264179,57.7182616,0.0,2.264179,0.471998991147047,57.69114620408102,-1.7753126059054791,2.2644262331722658,-0.04368177334003509
29.9724165,-2.2549117,-118.4714756,0.1406236,-7.2e-06,7.0166246,-7.1274144,29.9866879,-0.5229125,-2.1816202,-118.9892263,0.1098832,-0.0307404,1e-07,57.8357738,0.0003344976731044,2.2572454,57.8357738,0.0003344976731044,2.2572454,0.523899586886674,57.80866700075903,-1.777614823956922,2.2573278587162333,-0.04498218731438506
32.9696757,0.7127639,-118.05141,0.1406031,-6.6e-06,7.0113947,-7.1284206,32.9853496,-0.6150454,0.7989563,-118.6603859,0.1098837,-0.0307193,2e-07,57.952689,0.0006717028324661,2.2502749,57.952689,0.0006717028324661,2.2502749,0.575695105642816,57.92558202430001,-1.7799860535332597,2.2501910674386245,-0.04629923985112145
35.9669378,3.6804506,-117.6314023,0.1405843,-6e-06,7.0104469,-7.1290696,35.9840116,-0.7071173,3.7795329,-118.3315435,0.1098845,-0.0306998,3e-07,58.0690089,0.0010116029383884,2.2432635,58.0690089,0.0010116029383884,2.2432635,0.627386506843617,58.04189293012835,-1.782426945692111,2.2430118543204025,-0.04763271506830397
38.9642027,6.6481478,-117.2114475,0.1405673,-5.4e-06,7.0150697,-7.1294125,38.9826745,-0.7991329,6.7601099,-118.0026983,0.1098856,-0.0306817,4e-07,58.1847349,0.0013541853501533,2.2362069,58.1847349,0.0013541853501533,2.2362069,0.678974742606201,58.157601430484064,-1.7849265049552998,2.235785920137766,-0.04898194027016996
41.9614703,9.6158545,-116.79154,0.140552,-4.8e-06,7.0238478,-7.1295003,41.9813384,-0.8910965,9.7406877,-117.6738492,0.109887,-0.030665,5e-07,58.2998683,0.0016994373218986,2.2291008,58.2998683,0.0016994373218986,2.2291008,0.730460757276087,58.27270878167828,-1.7874852893674102,2.228508961489873,-0.05034669376058218
44.9587407,12.5835699,-116.3716746,0.1405386,-4.2e-06,7.0346807,-7.1293856,44.980004,-0.9830124,12.7212665,-117.3449952,0.1098888,-0.0306498,7e-07,58.41441,0.0023885703069536,2.221942,58.41441,0.0023885703069536,2.221942,0.781845481914656,58.38721566089826,-1.7901096783370272,2.2211882273297574,-0.05138594522310165
47.9560138,15.5512932,-115.9518459,0.140527,-3.6e-06,7.0455514,-7.129113,47.9786715,-1.0748847,15.7018466,-117.0161348,0.1098911,-0.0306359,8e-07,58.5283609,0.0027404552237125,2.2147268,58.5283609,0.0027404552237125,2.2147268,0.833129840868565,58.501123281744285,-1.7927885415373843,2.2137991430593718,-0.05277984097501041
50.9532894,18.5190236,-115.5320487,0.1405172,-3e-06,7.0545863,-7.1287431,50.9773413,-1.1667177,18.6824282,-116.6872669,0.1098937,-0.0306234,9e-07,58.6417214,0.0030949663398797,2.2074513,58.6417214,0.0030949663398797,2.2074513,0.884314747024898,58.614431821284725,-1.7955282215584756,2.206348222082706,-0.054188664879134
53.9505675,21.4867603,-115.1122777,0.1405092,-2.4e-06,7.0606622,-7.1283221,53.9760139,-1.2585153,21.6630116,-116.3583902,0.1098968,-0.0306124,1e-06,58.7544921,0.0034520903419289,2.2001131,58.7544921,0.0034520903419289,2.2001131,0.935401106597972,58.72714165502046,-1.7983351075743144,2.1988330547004313,-0.05561247032012705
