Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-122.9564,-600.4142,-0.67041483828763,0,3.22464657973752,-6.40038164950616,0,-2.55338241959782,-124.542844825129,-602.414938513033,-0.666753140808682,0.00366169747894869,-1.1442558965957e-05,62.3400804788513,-0.051047996450968,6.13946790604155,62.3400804788513,-0.0444690525268513,5.63561010228782,0
1.99996429218123,-121.3893,-601.6568,-0.67041483828765,0,3.2484431678439,-6.3853026472131,1.99997757700176,-2.546092806569,-122.971215707682,-603.651826634773,-0.666786821067623,0.00362801722002704,-2.22380786588488e-05,66.8413044293761,-0.0993543978156296,6.12116283653212,62.3948575872075,-0.0865754699457059,5.62290708653915,0.0320817291482364
3.99992858436249,-119.8222,-602.8994,-0.670414838287673,0,3.23580460846973,-6.39035007727603,3.99995487533184,-2.53888005508715,-121.399634345166,-604.888774982453,-0.666830003000563,0.00358483528711003,-2.09443454711483e-05,66.8893178070834,-0.0937087891441734,6.10313733001724,62.4489580505977,-0.0816802740348446,5.61041141624409,0.0641352889393581
5.99996312031429,-118.2551,-604.142,-0.670418894540025,0,3.231524924019,-6.36652915624794,5.9999216048185,-2.53175083043302,-119.82811292553,-606.125782398227,-0.666874655119456,0.00354423942056926,-1.96505639270097e-05,66.9365640057953,-0.0880444224347205,6.08538720817821,62.5023925420468,-0.0767658923024214,5.59807479825875,0.0961609110140489
7.99999765626609,-116.6879,-605.3847,-0.670418894540025,0,3.24083713603406,-6.35176136159247,8.0000387831072,-2.52470021135763,-118.256532275268,-607.362957804791,-0.666912662663348,0.00350623187667755,-1.83560899166686e-05,66.9830595812053,-0.0823588242837321,6.06790685515325,62.5551746250211,-0.0718301309145669,5.58588880422259,0.128161560860263
9.99996194844735,-115.1208,-606.6273,-0.670414838287675,0,3.26966372053727,-6.32866947115651,10.000025485688,-2.51772326416639,-116.685089396249,-608.600097282974,-0.666944023736464,0.00347081455121122,-1.7061655422751e-05,67.0288105118283,-0.0766556537280803,6.05069460882706,62.6073058133829,-0.0668761398037934,5.57501950909671,0.160133123797614
11.9999262406286,-113.5537,-607.8699,-0.67041483828765,0,3.26742409046381,-6.33635767635005,12.000001710599,-2.51081456245413,-115.113696943228,-609.837283873104,-0.666976852808094,0.00343798547955658,-1.57678100825193e-05,67.0738319862619,-0.0709377840241302,6.0337453230571,62.6588354209011,-0.0619064667799417,5.57134974281848,0.192077897637147
13.9999607765804,-111.9866,-609.1125,-0.670418894540023,0,3.26595183921514,-6.34789441787371,13.9999675627864,-2.50396869115125,-113.542351485872,-611.074513384376,-0.667011151476973,0.00340774306304976,-1.44739111113547e-05,67.1181361388871,-0.0652027145033276,6.01705497822496,62.7099969999274,-0.0569192882987969,5.56770618629836,0.223996235071173
15.9999953125322,-110.4194,-610.3552,-0.670418894540047,0,3.26328871550837,-6.3251248645322,16.0000838335312,-2.49718071781001,-111.970934021153,-612.311894590018,-0.667038805519278,0.00338008902076973,-1.31794988697028e-05,67.1617383875553,-0.0594487537327002,6.00061829570511,62.7607976933223,-0.0519129617321949,5.56408833084574,0.255890930756568
17.9999596047135,-108.8523,-611.5978,-0.670414838287675,0,3.2666132726914,-6.3034031415114,18.0000695951464,-2.49044570070501,-110.399641543446,-613.54922356655,-0.667059813582394,0.00335502470528124,-1.18851268805226e-05,67.2046442403172,-0.0536787501570912,5.98443371263817,62.811233356306,-0.0468898091352868,5.56049647163795,0.287757730337225
