,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
54,107.932105,65.632277,-2.615742,-0.034227,-0.409710,-1.156707,-12.106711,2.360705,1.686054
55,109.930848,65.614193,-2.683486,-0.033964,-0.778281,-1.084839,-12.727339,2.398319,1.716498
56,111.929591,65.584471,-2.753256,-0.036103,-1.167173,-1.011556,-13.334608,2.439777,1.747053
57,113.928333,65.542527,-2.828426,-0.038532,-1.575085,-0.936923,-13.936513,2.485359,1.777644
58,115.927076,65.487917,-2.906461,-0.039252,-2.000760,-0.861010,-14.488715,2.527079,1.808187
59,117.925819,65.420117,-2.984465,-0.038665,-2.442891,-0.783895,-14.969054,2.561279,1.838703
60,119.924561,65.338505,-3.060859,-0.038050,-2.900179,-0.705651,-15.344139,2.582616,1.869252
61,121.923304,65.242217,-3.138322,-0.039849,-3.371342,-0.626348,-15.732455,2.611318,1.899958
62,123.922047,65.131119,-3.220398,-0.041377,-3.855078,-0.546056,-16.132866,2.646861,1.930706
63,125.920789,65.005256,-3.302104,-0.040349,-4.350022,-0.464852,-16.400443,2.665315,1.961385
64,127.919532,64.863599,-3.382022,-0.040040,-4.854811,-0.382817,-16.630721,2.682573,1.992164
65,129.918275,64.705844,-3.462295,-0.039955,-5.368085,-0.300024,-16.844747,2.702235,2.023027
66,131.917018,64.531982,-3.540982,-0.038901,-5.888433,-0.216550,-16.942793,2.709176,2.053918
67,133.915760,64.341039,-3.618462,-0.038967,-6.414349,-0.132455,-16.978940,2.711312,2.084959
68,135.914503,64.132518,-3.697946,-0.040405,-6.944407,-0.047812,-17.078903,2.727200,2.116177
69,137.913246,63.907534,-3.778694,-0.039653,-7.477283,0.037279,-17.107570,2.735586,2.147378
70,139.911988,63.665663,-3.855191,-0.037512,-8.011581,0.122716,-16.910008,2.715434,2.178610
71,141.910731,63.404106,-3.931281,-0.039262,-8.545833,0.208507,-16.797181,2.726550,2.210204
72,143.909474,63.124608,-4.012547,-0.040712,-9.078592,0.294985,-16.741678,2.759967,2.241921
73,145.908216,62.828942,-4.091767,-0.038709,-9.608367,0.382322,-16.404867,2.751315,2.273565
74,147.906959,62.512913,-4.169511,-0.039997,-10.133585,0.470408,-16.071999,2.747587,2.305581
75,149.905702,62.177249,-4.253572,-0.042845,-10.652658,0.559146,-15.868335,2.770671,2.337877
76,151.904444,61.825747,-4.338806,-0.041926,-11.163989,0.648426,-15.517603,2.772606,2.370101
77,153.903187,61.456486,-4.420300,-0.040110,-11.665965,0.738117,-15.074327,2.762079,2.402450
78,155.901930,61.068541,-4.498965,-0.038577,-12.156921,0.828075,-14.596351,2.749965,2.435019
79,157.900672,60.662340,-4.574056,-0.036861,-12.635222,0.918187,-14.058843,2.731752,2.467787
80,159.899415,60.237647,-4.646097,-0.035294,-13.099245,1.008351,-13.445866,2.703513,2.500793
81,161.898158,59.793713,-4.715652,-0.034669,-13.547265,1.098433,-12.724812,2.657397,2.534113
82,163.896901,59.328551,-4.787039,-0.036791,-13.977360,1.188252,-12.041749,2.622424,2.567913
83,165.895643,58.845479,-4.863560,-0.038658,-14.387517,1.277575,-11.389643,2.599324,2.601974
84,167.894386,58.348245,-4.940013,-0.037479,-14.775902,1.366211,-10.660946,2.565794,2.636074
85,169.893129,57.836093,-5.011737,-0.034436,-15.140916,1.454060,-9.839039,2.516699,2.670312
86,171.891871,57.307044,-5.077028,-0.031460,-15.480891,1.541021,-8.915258,2.446820,2.704866
87,173.890614,56.758157,-5.138886,-0.030919,-15.793826,1.626907,-7.976109,2.377426,2.739967
88,175.889357,56.191385,-5.201820,-0.031590,-16.077506,1.711463,-7.047234,2.316622,2.775533
89,177.888099,55.611694,-5.264327,-0.030511,-16.329625,1.794342,-6.077765,2.250522,2.811309
90,179.886842,55.020761,-5.322042,-0.027226,-16.548104,1.875242,-5.019723,2.161332,2.847256
91,181.885585,54.414146,-5.373510,-0.025086,-16.731103,1.954036,-3.923903,2.064914,2.883712
92,183.884327,53.790552,-5.423980,-0.025271,-16.876720,2.030665,-2.833263,1.983333,2.920822
93,185.883070,53.156908,-5.473978,-0.024202,-16.982763,2.104897,-1.702294,1.893337,2.958250
94,187.881813,52.513412,-5.520333,-0.022473,-17.047143,2.176502,-0.533656,1.792662,2.996070
95,189.880555,51.859686,-5.563993,-0.021001,-17.067595,2.245206,0.655930,1.694996,3.034395
96,191.879298,51.199481,-5.603546,-0.018502,-17.042204,2.310820,1.682245,1.665058,3.073105
97,193.878041,50.530976,-5.638346,-0.016705,-16.976087,2.376261,-0.125159,2.926905,3.112408
98,195.876784,49.849213,-5.672429,-0.017640,-16.981113,2.493789,0.829672,2.915457,3.152562
99,197.875526,49.159850,-5.708833,-0.017761,-16.947398,2.612262,2.068139,2.834051,3.193199
100,199.874269,48.474063,-5.739658,-0.012281,-16.863502,2.727228,3.168505,2.733333,3.233765
101,201.873012,47.783219,-5.757269,-0.006506,-16.733195,2.839638,3.755911,2.709502,3.274890
102,203.871754,47.074995,-5.769815,-0.007070,-16.573465,2.954867,4.461307,2.757731,3.317418
103,205.870497,46.362088,-5.786189,-0.008178,-16.380438,3.074185,5.451802,2.824858,3.360685
104,207.869240,45.659263,-5.798744,-0.003444,-16.144827,3.196268,5.699100,3.288623,3.403902
105,209.867982,44.958008,-5.799166,0.002381,-15.895357,3.340222,6.364371,3.520059,3.447675
106,211.866725,44.252050,-5.790820,0.005788,-15.610138,3.497973,7.646855,3.411170,3.492490
107,213.865468,43.549939,-5.775610,0.009847,-15.262324,3.653129,5.527336,6.049239,3.537975
108,215.864210,42.850856,-5.751115,0.014506,-15.007012,3.932549,5.036176,7.085586,3.584166
109,217.862953,42.147963,-5.718466,0.017767,-14.769246,4.267070,4.295278,8.130508,3.631377
110,219.861696,41.442685,-5.679761,0.021016,-14.562689,4.658062,4.797729,8.204980,3.679467
111,221.860438,40.740782,-5.632317,0.027259,-14.329578,5.056723,6.394090,7.392307,3.728054
112,223.859181,40.044224,-5.569483,0.036235,-14.015317,5.420045,7.385348,6.724658,3.777203
113,225.857924,39.349081,-5.488710,0.044236,-13.644096,5.758056,7.771915,6.287273,3.827468
114,227.856667,38.658222,-5.393097,0.051460,-13.244726,6.081137,8.392828,5.810560,3.878854
115,229.855409,37.978916,-5.281576,0.060628,-12.807036,6.384160,9.708185,4.786516,3.931004
116,231.854152,37.310852,-5.150669,0.069641,-12.290191,6.638985,9.842739,4.887522,3.984243
117,233.852895,36.655317,-5.002717,0.077198,-11.753479,6.905495,9.986655,5.123480,4.038771
118,235.851637,36.020842,-4.838599,0.087290,-11.201415,7.188722,11.031940,4.411480,4.094051
119,237.850380,35.411917,-4.651198,0.101096,-10.584728,7.435324,9.662553,5.977568,4.149952
120,239.849123,34.823012,-4.434899,0.114435,-10.032737,7.776804,8.586040,7.261523,4.207078
121,241.847865,34.251171,-4.192246,0.126683,-9.530798,8.201312,9.448023,6.559650,4.265538
122,243.846608,33.702304,-3.923396,0.141605,-8.970211,8.590520,9.582135,6.546694,4.324872
123,245.845351,33.178587,-3.621705,0.158573,-8.392142,8.985468,8.664670,7.627426,4.385200
124,247.844093,32.677883,-3.284567,0.175232,-7.858192,9.455499,9.384520,6.710454,4.446824
125,249.842836,32.203080,-2.912240,0.192937,-7.269083,9.876745,9.282417,6.630745,4.509598
126,251.841579,31.757541,-2.501364,0.212048,-6.675942,10.300445,9.182485,6.432169,4.573498
127,253.840322,31.342785,-2.049357,0.232641,-6.078753,10.718766,9.095640,6.181178,4.638533
128,255.839064,30.961088,-1.551313,0.257236,-5.477927,11.127072,8.958746,5.770988,4.704590
129,257.837807,30.612538,-0.997775,0.282790,-4.874683,11.515667,8.481068,5.737454,4.771926
130,259.836550,30.297694,-0.392060,0.303828,-4.292098,11.909786,6.485387,7.866240,4.840618
131,261.835292,30.014383,0.253478,0.320139,-3.840228,12.457867,7.165540,5.690195,4.910293
132,263.834035,29.762812,0.922563,0.327869,-3.337972,12.856711,9.283606,1.224008,4.980386
133,265.832778,29.552798,1.586195,0.324805,-2.691224,12.941982,7.984566,2.313718,5.050052
134,267.831520,29.386538,2.225274,0.316088,-2.141884,13.101167,4.668124,7.406059,5.118852
135,269.830263,29.252906,2.825834,0.300194,-1.827579,13.599817,5.037177,5.511447,5.186182
136,271.829006,29.144841,3.363578,0.272787,-1.500452,13.957744,7.343424,-0.645540,5.251125
137,273.827748,29.065063,3.826675,0.239022,-1.039072,13.917186,4.356865,4.087317,5.313954
138,275.826491,29.009102,4.223884,0.207769,-0.769446,14.170130,2.868309,5.457549,5.375839
139,277.825234,28.967132,4.569272,0.182274,-0.592690,14.506447,2.499946,3.905140,5.437463
140,279.823977,28.935491,4.871670,0.160395,-0.439407,14.745888,2.077681,2.292098,5.498778
141,281.822720,28.912574,5.135469,0.140414,-0.312810,14.885551,1.980477,-0.453619,5.559710
142,283.821462,28.897294,5.362827,0.120462,-0.193203,14.858155,1.185184,-0.315484,5.620103
143,285.820205,28.887929,5.548995,0.096392,-0.123004,14.839467,1.245071,-2.797030,5.679331
144,287.818948,28.882871,5.688583,0.069516,-0.050337,14.676226,-0.227278,3.654618,5.737694
145,289.817691,28.879562,5.782956,0.042964,-0.063547,14.888602,0.107041,-3.328984,5.795806
146,291.816433,28.876069,5.832007,0.015553,-0.057367,14.696289,0.427738,-8.743483,5.853575
147,293.815176,28.873449,5.836423,-0.008979,-0.032407,14.185999,0.364807,10.953277,5.911938
148,295.813919,28.872171,5.803491,-0.029514,-0.010844,14.833408,0.599735,5.358695,5.971044
149,297.812661,28.872561,5.734617,-0.053564,0.024186,15.146399,0.042112,-3.006118,6.029452
150,299.811404,28.874036,5.621908,-0.080762,0.026630,14.971904,-0.383667,-8.685625,6.087499
151,301.810147,28.874938,5.462913,-0.107038,0.004112,14.462155,1.048537,-3.368924,6.146188
152,303.808889,28.877031,5.257685,-0.132745,0.066378,14.262092,2.296993,-0.128783,6.205572
153,305.807632,28.885208,5.006122,-0.156692,0.204859,14.254328,4.438931,4.387302,6.265861
154,307.806374,28.905974,4.710968,-0.179884,0.475734,14.522054,4.332851,1.596673,6.326884
155,309.805117,28.943676,4.370874,-0.202164,0.743659,14.620786,3.090875,-3.562494,6.388720
156,311.803860,28.996445,3.986825,-0.223671,0.937673,14.397167,3.510163,-4.630717,6.451490
157,313.802602,29.062832,3.557574,-0.248825,1.159864,14.104045,4.593416,-3.906263,6.514789
158,315.801345,29.146755,3.072217,-0.276615,1.454741,13.853281,4.266041,-5.581577,6.578985
159,317.800087,29.251283,2.523682,-0.304841,1.734390,13.487394,4.987955,-4.824844,6.644538
160,319.798830,29.379126,1.906397,-0.331708,2.069650,13.163097,5.548106,-4.015053,6.711752
161,321.797573,29.535729,1.222464,-0.349918,2.453804,12.885092,5.787417,-3.647611,6.780992
162,323.796315,29.723967,0.497019,-0.353755,2.863560,12.626837,6.157988,-3.076483,6.851794
163,325.795058,29.943457,-0.230773,-0.343684,3.301999,12.407796,6.191560,-3.100453,6.922992
164,327.793801,30.191672,-0.925693,-0.322698,3.738566,12.189183,5.847383,-3.672069,6.993502
165,329.792544,30.464186,-1.563573,-0.294595,4.142929,11.935249,5.874190,-3.482630,7.062655
166,331.791286,30.758436,-2.136536,-0.265595,4.541016,11.699235,5.736246,-3.300752,7.130424
167,333.790029,31.074709,-2.653312,-0.241059,4.924354,11.478655,5.350523,-3.351143,7.197251
168,335.788772,31.412054,-3.126032,-0.221248,5.278183,11.257045,4.926115,-3.356424,7.263381
169,337.787514,31.765650,-3.557264,-0.201112,5.598475,11.038813,4.675024,-3.048658,7.328400
170,339.786257,32.130712,-3.939848,-0.177823,5.895444,10.845155,5.365883,-2.962775,7.391923
171,341.785000,32.510371,-4.275305,-0.156191,6.231427,10.659642,4.295067,-3.561389,7.454537
172,343.783742,32.905001,-4.572185,-0.137840,6.497739,10.438821,3.055456,-4.179510,7.516542
173,345.782485,33.307303,-4.831950,-0.119927,6.684238,10.183712,1.259313,-5.537726,7.577580
174,347.781228,33.709702,-5.053408,-0.101006,6.759625,9.852203,-0.497445,-6.902258,7.637443
175,349.779971,34.107436,-5.236323,-0.082736,6.730292,9.445194,-2.422946,-8.058060,7.696411
176,351.778713,34.498294,-5.387672,-0.068656,6.588079,8.972230,-4.145438,-9.104400,7.755105
177,353.777456,34.873024,-5.512887,-0.055396,6.347908,8.444756,-5.523212,-10.026944,7.813042
178,355.776199,35.224815,-5.608275,-0.040482,6.034062,7.874994,-7.196877,-10.631923,7.869865
179,357.774941,35.554022,-5.675969,-0.028085,5.627733,7.274726,-8.504937,-11.028833,7.926324
180,359.773684,35.856827,-5.722466,-0.018385,5.149826,6.654996,-4.238982,-11.338089,7.982515
181,361.772427,36.135861,-5.749233,-0.008109,4.914780,6.026316,-4.214728,-11.466753,8.037964
182,363.771169,36.398716,-5.754490,0.002671,4.683945,5.398295,-5.505709,-11.350491,8.092733
183,365.769912,36.646179,-5.740062,0.011183,4.383426,4.778751,-4.419991,-11.163897,8.147316
184,367.768655,36.877995,-5.711080,0.017793,4.143087,4.171708,-4.984813,-10.954068,8.201691
185,369.767397,37.094603,-5.669516,0.023531,3.873715,3.579767,-5.890868,-10.626248,8.255730
186,371.766140,37.295493,-5.618782,0.026129,3.555115,3.005059,-5.232520,-10.303446,8.309814
187,373.764883,37.479604,-5.565400,0.027051,3.272935,2.449415,-2.675666,-10.054233,8.363742
188,375.763626,37.650010,-5.508713,0.030183,3.130529,1.914300,-3.953968,-9.769376,8.416964
189,377.762368,37.809062,-5.443755,0.035605,2.922744,1.400910,-4.188524,-9.362907,8.469515
190,379.761111,37.956417,-5.368090,0.040110,2.703337,0.910455,3.870661,-8.830884,8.521898
191,381.759854,38.104469,-5.286859,0.039818,2.907602,0.444427,2.345178,-8.339189,8.574671
192,383.758596,38.261219,-5.209520,0.037219,3.031396,0.004229,1.353434,-7.961478,8.627457
193,385.757339,38.420841,-5.135460,0.037805,3.101844,-0.410178,-0.073642,-7.525696,8.679509
194,387.756082,38.580617,-5.057962,0.040108,3.098049,-0.798065,-2.272766,-6.963004,8.731051
195,389.754824,38.737938,-4.978157,0.038627,2.980403,-1.158493,-3.252350,-6.399081,8.782814
196,391.753567,38.888137,-4.904912,0.034241,2.811725,-1.490370,-2.688692,-5.892523,8.834677
