V,Aw,An,Ae_off,Ae_on
10,9.751,11.367208,21.6754407152996,21.6754407152996
10.2,9.76472,11.42794136,21.6617680920759,21.6617680920759
10.4,9.77844,11.48867472,21.6480954688521,21.6480954688521
10.6,9.79216,11.54940808,21.6344228456284,21.6344228456284
10.8,9.80588,11.61014144,21.6207502224046,21.6207502224046
11,9.8196,11.6708748,21.6070775991809,21.6070775991809
11.2,9.83317365333333,11.73160816,21.5934049759571,21.5934049759571
11.4,9.84660096,11.79234152,21.5797323527335,21.5797323527335
11.6,9.86010144,11.85307488,21.5660597295097,21.5660597295097
11.8,9.87389461333333,11.91380824,21.5523871062859,21.5523871062859
12,9.8882,11.9745416,21.5387144830622,21.5387144830622
12.2,9.90306341019608,12.03527496,21.5250418598383,21.5250418598383
12.4,9.91836463058823,12.09600832,21.5113692366147,21.5113692366147
12.6,9.93407414588235,12.15674168,21.4976966133909,21.4976966133909
12.8,9.95016244078431,12.21747504,21.4840239901672,21.4840239901672
13,9.9666,12.2782084,21.4703513669434,21.4703513669434
13.2,9.98357590588235,12.33894176,21.4566787437196,21.4566787437196
13.4,10.0011328941176,12.39967512,21.4430061204959,21.4430061204959
13.6,10.0190219294118,12.46040848,21.4293334972722,21.4293334972722
13.8,10.0369939764706,12.52114184,21.4156608740484,21.4156608740484
14,10.0548,12.5818752,21.4019882508247,21.4019882508247
14.2,10.0722914526316,12.64260856,21.3883156276009,21.3883156276009
14.4,10.0896343578947,12.70334192,21.3746430043772,21.3746430043772
14.6,10.1070515368421,12.76407528,21.3609703811534,21.3609703811534
14.8,10.1247658105263,12.82480864,21.3472977579297,21.3472977579297
15,10.143,12.885542,21.333625134706,21.333625134706
15.2,10.1619397894737,12.94627536,21.3199525114822,21.3199525114822
15.4,10.1814572631579,13.00700872,21.3062798882585,21.3062798882585
15.6,10.2013048421053,13.06774208,21.2926072650347,21.2926072650347
15.8,10.2212349473684,13.12847544,21.278934641811,21.278934641811
16,10.241,13.1892088,21.2652620185872,21.2652620185872
16.2,10.2604506666667,13.24994216,21.2515893953635,21.2515893953635
