x,y
-3180.426382,-11469.558828
-3080.81088,-11456.220981
-2978.568588,-11440.40002
-2876.016042,-11425.486526
-2767.22526,-11412.037718
-2655.867388,-11393.9279
-2554.155466,-11383.715644
-2439.542956,-11363.703491
-2327.577596,-11349.322398
-2206.136332,-11331.883246
-2100.667238,-11320.367226
-1978.850634,-11303.658814
-1877.443191,-11286.464972
-1764.451395,-11272.675165
-1639.232044,-11256.542225
-1516.050716,-11238.124234
-1410.457973,-11221.860025
-1295.453756,-11203.922059
-1190.721191,-11193.463133
-1083.811774,-11176.154207
-979.106337,-11163.170567
-872.95766,-11148.329727
-771.475282,-11133.767749
-652.363462,-11114.623599
-529.996941,-11096.132489
-415.377538,-11080.090273
-313.163402,-11065.294131
-200.887552,-11049.42113
-92.342825,-11035.884556
13.152117,-11022.578915
135.888139,-11002.002109
256.766909,-10986.682612
368.21743,-10972.557015
469.52743,-10957.306355
571.49256,-10943.62834
689.683274,-10922.386305
805.279963,-10906.440395
909.649757,-10892.038712
1024.811162,-10876.601157
1150.215964,-10860.122507
1270.134824,-10842.152595
1376.421196,-10826.171648
1479.641799,-10810.640044
1590.47888,-10794.269636
1699.710948,-10779.891374
1826.422084,-10763.878707
1927.639474,-10748.736275
2027.584792,-10735.781749
2133.356182,-10717.156134
2237.873027,-10704.310415
2347.202225,-10687.188872
2448.316369,-10674.478276
2558.602183,-10660.730822
2676.467501,-10639.863691
2786.758259,-10628.067272
2893.129053,-10609.935457
3006.147653,-10594.252317
3121.078434,-10579.450799
3237.681165,-10562.731962
3351.450543,-10546.786786
3453.35642,-10533.034535
3559.367619,-10514.847887
3676.581423,-10501.579064
3786.268538,-10486.126342
3894.796949,-10470.788831
4007.538028,-10455.405134
4128.4458,-10438.532842
4250.078824,-10419.32661
4385.660918,-10401.050684
4492.740061,-10385.659894
4594.74528,-10371.82108
4702.865396,-10357.196215
4810.281519,-10340.424689
4927.773626,-10324.873616
5035.750409,-10308.981824
5164.213483,-10291.378527
5271.351122,-10276.385277
5382.938983,-10258.70686
5485.292909,-10244.549732
5588.753054,-10232.549811
5696.666101,-10213.079172
5803.547251,-10199.901868
5921.245187,-10185.21982
6042.001952,-10166.603493
6152.972202,-10148.067253
6264.757866,-10133.350272
6367.20294,-10122.131367
6480.875041,-10104.791728
6583.761272,-10087.564689
6696.500156,-10073.488255
6801.625347,-10057.077508
6910.848324,-10044.362446
7014.169685,-10026.982913
7114.376842,-10016.916886
7217.852279,-9999.451281
7328.015735,-9986.047831
7440.804478,-9967.089388
7559.752678,-9952.399901
7670.964833,-9933.625892
7781.085517,-9920.024181
7886.600807,-9906.991313
7997.986339,-9888.194754
8114.751108,-9873.771518
8217.394445,-9861.0926
8331.777544,-9841.925532
8454.131103,-9826.81192
8562.372393,-9808.403511
8674.51988,-9794.550593
8791.220355,-9780.13527
8915.533211,-9759.741633
9037.63584,-9744.659014
9140.232367,-9726.947867
9241.123049,-9714.485434
9351.181326,-9700.890582
9454.325343,-9683.111807
9560.088421,-9668.103722
9675.218902,-9652.150119
9783.54878,-9639.052444
9893.99889,-9622.739797
10009.604968,-9606.931842
10128.692423,-9590.2404
10233.967512,-9573.342356
10336.972345,-9560.859197
10440.634916,-9544.611258
10546.840591,-9527.680102
10654.205791,-9515.557997
10786.038159,-9498.658774
10887.998947,-9480.446821
11006.768691,-9466.708846
11117.976056,-9448.844297
11223.311471,-9436.139582
11323.18364,-9421.888007
11427.199744,-9408.171444
11545.126818,-9388.893621
11664.089473,-9369.87455
11765.221846,-9355.843423
11872.654574,-9343.384849
11978.301557,-9327.262692
12081.783592,-9312.74027
12187.650279,-9296.212263
12304.141839,-9280.914481
12404.085349,-9267.101992
12523.057583,-9249.67867
12656.953104,-9230.027245
12768.120774,-9216.209522
12871.035847,-9200.641015
12975.818317,-9188.35082
13085.165288,-9172.216618
13195.653236,-9155.587898
13304.005362,-9137.507931
13430.963465,-9121.756736
13542.853786,-9103.319944
13669.35746,-9088.050943
13774.336448,-9070.344066
13884.538363,-9056.884242
14006.919184,-9041.648251
14110.498791,-9023.66614
14230.363974,-9008.670676
14335.915388,-8993.502348
14436.106707,-8980.964839
14546.695644,-8961.271024
14655.110516,-8946.886962
14760.898083,-8932.136173
14868.598206,-8916.878195
14973.461966,-8905.012465
15081.792744,-8887.834943
15193.771252,-8873.322584
15311.538261,-8857.444146
15418.180476,-8838.142076
15518.228722,-8825.151675
15625.294725,-8811.315237
15726.109578,-8798.301501
15853.36377,-8776.840769
15962.986537,-8762.697919
16063.812319,-8749.690001
16166.264762,-8735.329595
16267.096082,-8721.959883
16368.429872,-8703.326651
16486.87921,-8687.375789
16590.270022,-8673.427312
16708.863179,-8657.422254
16816.042048,-8642.957642
16915.461225,-8629.529365
17028.815314,-8614.208101
17150.106864,-8592.766516
17266.940658,-8576.972559
17369.083444,-8563.164457
17476.535885,-8548.638145
17579.775189,-8534.6814
17681.593229,-8517.814896
17796.486049,-8502.019789
17914.750674,-8485.69231
18023.33391,-8470.686559
18152.800389,-8452.788017
18266.637467,-8439.01462
18370.025009,-8419.675363
18482.569441,-8403.915348
18594.941963,-8388.070672
18706.150348,-8372.363535
18834.509196,-8354.222722
18944.021323,-8338.741178
19055.108184,-8323.035517
19169.513706,-8309.942972
19274.722999,-8293.10632
19393.647768,-8278.009508
19506.017011,-8261.329665
19620.120106,-8243.874632
19721.568557,-8229.35355
19832.265516,-8214.707651
19934.719526,-8200.90813
20044.375946,-8186.007497
20143.338627,-8170.337686
20263.579917,-8153.225845
20370.703804,-8141.414553
20477.377523,-8125.670231
20596.175687,-8108.327426
20700.241139,-8092.913593
20813.156461,-8076.744865
20928.336428,-8063.441257
21032.293774,-8048.311089
21153.385037,-8031.771134
21256.804937,-8015.805565
21382.007523,-7998.575689
21511.448119,-7980.72785
21620.232884,-7964.851271
21735.985431,-7948.240773
21866.60779,-7930.116704
21985.237334,-7913.192892
22100.45284,-7894.656865
22220.222146,-7877.682279
22335.668789,-7864.395485
22468.578748,-7846.147155
22574.559924,-7829.744759
22688.996902,-7809.335359
22793.322271,-7794.957996
22913.608104,-7771.593054
23020.403157,-7747.957933
23120.465028,-7724.085655
23222.605751,-7697.096613
23341.395214,-7663.48659
23466.815912,-7625.425156
23595.929575,-7573.337831
23706.42897,-7518.521627
23809.428155,-7471.543373
23911.44528,-7410.413279
24006.770302,-7353.423961
24095.050952,-7295.576525
24175.430758,-7235.741407
24265.984854,-7163.973405
24356.473508,-7085.984198
24439.596663,-7011.729556
24521.048691,-6934.700747
24595.238092,-6859.078201
24674.50013,-6766.882471
24741.526838,-6684.034338
24802.459344,-6599.555519
24867.184225,-6508.850267
24927.033786,-6411.982495
24987.017932,-6312.379469
25048.553798,-6193.880762
25096.814248,-6095.546721
25141.470507,-5982.233833
25186.544134,-5870.254688
25223.01541,-5756.678301
25253.366816,-5660.700387
25279.396598,-5550.407322
25301.580255,-5429.120933
25323.330869,-5314.138418
25336.286273,-5212.920598
25346.587989,-5106.478654
25352.634982,-4996.825968
25352.586282,-4874.114993
25350.069649,-4743.775804
25340.681128,-4619.928624
25325.58139,-4514.832428
25311.288107,-4399.57373
25287.068584,-4288.061979
25263.560959,-4169.106538
25239.18746,-4065.835613
25216.42538,-3955.562679
25190.319445,-3853.633093
25164.373425,-3742.718015
25138.623704,-3629.655638
25112.162733,-3522.091963
25089.987058,-3406.677644
25062.298703,-3290.452
25041.164846,-3192.378776
25016.177505,-3085.006497
24989.756851,-2982.034273
24966.253403,-2872.74687
24933.654234,-2746.564858
24906.639396,-2630.54223
24877.188793,-2494.442554
24853.483228,-2396.917189
24824.506578,-2278.018881
24800.820577,-2179.830306
24778.819014,-2070.171231
24749.2634,-1965.25423
